actual	predicted	count	x	y	strategy	metric	direction	threshold
TASK07_CON37	TASK07_CON49	0	35	44	svi	spearman	posneg	5
TASK07_CON37	TASK07_CON50	0	35	45	svi	spearman	posneg	5
TASK07_CON37	TASK07_CON51	0	35	46	svi	spearman	posneg	5
TASK07_CON37	TASK07_CON52	0	35	47	svi	spearman	posneg	5
TASK07_CON38	TASK01_CON07	0	36	1	svi	spearman	posneg	5
TASK07_CON38	TASK01_CON08	0	36	2	svi	spearman	posneg	5
TASK07_CON38	TASK01_CON09	0	36	3	svi	spearman	posneg	5
TASK07_CON38	TASK02_CON25	0	36	4	svi	spearman	posneg	5
TASK07_CON38	TASK02_CON26	0	36	5	svi	spearman	posneg	5
TASK07_CON38	TASK02_CON27	0	36	6	svi	spearman	posneg	5
TASK07_CON38	TASK03_CON19	0	36	7	svi	spearman	posneg	5
TASK07_CON38	TASK03_CON20	0	36	8	svi	spearman	posneg	5
TASK07_CON38	TASK03_CON22	0	36	9	svi	spearman	posneg	5
TASK07_CON38	TASK04_CON61	0	36	10	svi	spearman	posneg	5
TASK07_CON38	TASK04_CON62	0	36	11	svi	spearman	posneg	5
TASK07_CON38	TASK04_CON63	0	36	12	svi	spearman	posneg	5
TASK07_CON38	TASK04_CON64	0	36	13	svi	spearman	posneg	5
TASK07_CON38	TASK04_CON65	0	36	14	svi	spearman	posneg	5
TASK07_CON38	TASK04_CON66	0	36	15	svi	spearman	posneg	5
TASK07_CON38	TASK04_CON67	0	36	16	svi	spearman	posneg	5
TASK07_CON38	TASK04_CON68	0	36	17	svi	spearman	posneg	5
TASK07_CON38	TASK04_CON69	0	36	18	svi	spearman	posneg	5
TASK07_CON38	TASK04_CON70	0	36	19	svi	spearman	posneg	5
TASK07_CON38	TASK04_CON71	0	36	20	svi	spearman	posneg	5
TASK07_CON38	TASK04_CON72	0	36	21	svi	spearman	posneg	5
TASK07_CON38	TASK04_CON73	0	36	22	svi	spearman	posneg	5
TASK07_CON38	TASK05_CON13	156	36	23	svi	spearman	posneg	5
TASK07_CON38	TASK05_CON14	284	36	24	svi	spearman	posneg	5
TASK07_CON38	TASK05_CON15	0	36	25	svi	spearman	posneg	5
TASK07_CON38	TASK06_CON01	0	36	26	svi	spearman	posneg	5
TASK07_CON38	TASK06_CON02	0	36	27	svi	spearman	posneg	5
TASK07_CON38	TASK06_CON06	0	36	28	svi	spearman	posneg	5
TASK07_CON38	TASK07_CON31	0	36	29	svi	spearman	posneg	5
TASK07_CON38	TASK07_CON32	0	36	30	svi	spearman	posneg	5
TASK07_CON38	TASK07_CON33	0	36	31	svi	spearman	posneg	5
TASK07_CON38	TASK07_CON34	0	36	32	svi	spearman	posneg	5
TASK07_CON38	TASK07_CON35	0	36	33	svi	spearman	posneg	5
