actual	predicted	count	x	y	strategy	metric	direction	threshold
TASK02_CON27	TASK07_CON34	35	6	32	cca	spearman	posneg	9
TASK02_CON27	TASK07_CON35	11	6	33	cca	spearman	posneg	9
TASK02_CON27	TASK07_CON36	18	6	34	cca	spearman	posneg	9
TASK02_CON27	TASK07_CON37	12	6	35	cca	spearman	posneg	9
TASK02_CON27	TASK07_CON38	16	6	36	cca	spearman	posneg	9
TASK02_CON27	TASK07_CON39	0	6	37	cca	spearman	posneg	9
TASK02_CON27	TASK07_CON40	4	6	38	cca	spearman	posneg	9
TASK02_CON27	TASK07_CON41	0	6	39	cca	spearman	posneg	9
TASK02_CON27	TASK07_CON45	10	6	40	cca	spearman	posneg	9
TASK02_CON27	TASK07_CON46	9	6	41	cca	spearman	posneg	9
TASK02_CON27	TASK07_CON47	3	6	42	cca	spearman	posneg	9
TASK02_CON27	TASK07_CON48	3	6	43	cca	spearman	posneg	9
TASK02_CON27	TASK07_CON49	0	6	44	cca	spearman	posneg	9
TASK02_CON27	TASK07_CON50	13	6	45	cca	spearman	posneg	9
TASK02_CON27	TASK07_CON51	15	6	46	cca	spearman	posneg	9
TASK02_CON27	TASK07_CON52	0	6	47	cca	spearman	posneg	9
TASK03_CON19	TASK01_CON07	24	7	1	cca	spearman	posneg	9
TASK03_CON19	TASK01_CON08	21	7	2	cca	spearman	posneg	9
TASK03_CON19	TASK01_CON09	18	7	3	cca	spearman	posneg	9
TASK03_CON19	TASK02_CON25	26	7	4	cca	spearman	posneg	9
TASK03_CON19	TASK02_CON26	20	7	5	cca	spearman	posneg	9
TASK03_CON19	TASK02_CON27	0	7	6	cca	spearman	posneg	9
TASK03_CON19	TASK03_CON19	10	7	7	cca	spearman	posneg	9
TASK03_CON19	TASK03_CON20	5	7	8	cca	spearman	posneg	9
TASK03_CON19	TASK03_CON22	12	7	9	cca	spearman	posneg	9
TASK03_CON19	TASK04_CON61	19	7	10	cca	spearman	posneg	9
TASK03_CON19	TASK04_CON62	24	7	11	cca	spearman	posneg	9
TASK03_CON19	TASK04_CON63	18	7	12	cca	spearman	posneg	9
